"State,County Name, High School Diploma Only Rate 2012 - 2016, Average Unemployment Rate 2012 - 2016"
ID,Valley County,26.6,6.86
ID,Washington County,34.0,8.32
IL,Adams County,35.4,7.54
IL,Alexander County,34.2,8.22
IL,Bond County,40.7,6.84
IL,Boone County,35.4,7.18
IL,Brown County,39.2,6.16
IL,Bureau County,39.0,7.98
IL,Calhoun County,44.7,7.56
IL,Carroll County,41.5,8.26
IL,Cass County,46.4,5.64
IL,Champaign County,22.2,7.24
IL,Christian County,43.3,7.76
IL,Clark County,39.0,6.94
IL,Clay County,38.3,6.32
IL,Clinton County,31.6,6.88
IL,Coles County,31.1,6.94
IL,Cook County,23.7,5.96
IL,Crawford County,34.1,6.06
IL,Cumberland County,38.6,7.66
IL,DeKalb County,26.1,6.98
IL,De Witt County,37.2,5.7
IL,Douglas County,35.3,7.86
IL,DuPage County,18.7,6.38
IL,Edgar County,36.7,9.54
IL,Edwards County,36.5,8.94
IL,Effingham County,36.6,7.88
IL,Fayette County,40.3,7.1
IL,Ford County,37.7,9.1
IL,Franklin County,33.3,6.76
IL,Fulton County,34.6,7.16
IL,Gallatin County,40.2,9.64
IL,Greene County,42.3,6.84
IL,Grundy County,36.4,6.78
IL,Hamilton County,36.4,6.94
IL,Hancock County,38.5,6.68
IL,Hardin County,34.9,6.82
IL,Henderson County,45.2,7.9
IL,Henry County,33.7,7.4
IL,Iroquois County,41.1,6.52
IL,Jackson County,24.8,10.18
IL,Jasper County,37.5,7.2
IL,Jefferson County,32.0,8.38
IL,Jersey County,36.7,6.66
IL,Jo Daviess County,37.1,7.24
IL,Johnson County,30.9,6.52
IL,Kane County,23.2,8.42
IL,Kankakee County,34.0,8.52
IL,Kendall County,24.2,6.54
IL,Knox County,36.7,6.52
IL,Lake County,20.9,6.46
IL,La Salle County,36.6,6.98
IL,Lawrence County,34.3,6.9
IL,Lee County,36.3,5.7
IL,Livingston County,41.5,8.66
IL,Logan County,34.6,7.68
IL,McDonough County,28.9,7.3
IL,McHenry County,26.9,8.16
IL,McLean County,25.5,7.6
IL,Macon County,34.7,8.72
IL,Macoupin County,38.3,8.28
IL,Madison County,31.7,5.82
IL,Marion County,35.8,6.96
IL,Marshall County,40.4,5.36
IL,Mason County,42.7,9.16
IL,Massac County,34.0,6.28
IL,Menard County,34.9,5.64
IL,Mercer County,41.5,7.82
IL,Monroe County,32.3,7.9
IL,Montgomery County,40.4,8.82
IL,Morgan County,41.9,5.94
IL,Moultrie County,34.9,6.16
IL,Ogle County,33.8,7.98
IL,Peoria County,27.6,10.34
IL,Perry County,38.3,7.66
IL,Piatt County,34.6,6.68
IL,Pike County,41.4,6.92
IL,Pope County,32.3,7.12
IL,Pulaski County,34.7,8.02
IL,Putnam County,39.6,8.88
IL,Randolph County,41.0,6.06
IL,Richland County,33.3,6.88
IL,Rock Island County,31.2,7.22
IL,St. Clair County,28.4,7.16
IL,Saline County,31.4,7.86
IL,Sangamon County,27.8,7.7
IL,Schuyler County,36.8,7.04
IL,Scott County,50.2,9.24
IL,Shelby County,47.0,8.48
IL,Stark County,37.3,6.72
IL,Stephenson County,35.2,6.1
IL,Tazewell County,32.9,4.98
IL,Union County,32.6,7.5
IL,Vermilion County,40.6,6.74
IL,Wabash County,32.4,7.22
IL,Warren County,34.5,7.84
IL,Washington County,32.6,7.36
IL,Wayne County,35.1,8.58
IL,White County,36.3,5.8
IL,Will County,26.9,5.06
IL,Williamson County,30.5,6.18
IL,Winnebago County,32.3,4.84
IL,Woodford County,32.8,5.84
IN,Adams County,41.6,4.72
IN,Allen County,29.1,6.08
IN,Bartholomew County,34.9,5.56
IN,Benton County,45.1,6.34
IN,Blackford County,48.2,5.86
IN,Boone County,25.4,7.06
IN,Brown County,36.1,5.62
IN,Carroll County,40.8,7.96
IN,Cass County,39.5,4.74
IN,Clark County,34.1,6.74
IN,Clay County,44.8,5.46
IN,Clinton County,45.3,5.72
IN,Crawford County,47.7,7.22
IN,Daviess County,36.3,4.24
IN,Dearborn County,40.2,5.74
IN,Decatur County,43.5,8.38
IN,DeKalb County,41.9,5.32
IN,Delaware County,35.6,7.4
IN,Dubois County,40.3,6.8
IN,Elkhart County,36.7,6.54
IN,Fayette County,43.1,4.96
IN,Floyd County,31.8,7.1
IN,Fountain County,44.2,8.42
IN,Franklin County,42.1,4.12
IN,Fulton County,41.0,5.38
IN,Gibson County,39.7,5.9
IN,Grant County,41.0,4.84
IN,Greene County,40.3,7.06
IN,Hamilton County,15.7,6.64
IN,Hancock County,33.2,6.06
IN,Harrison County,41.9,5.34
IN,Hendricks County,28.5,6.76
IN,Henry County,43.4,6.18
IN,Howard County,36.5,6.44
IN,Huntington County,43.4,7.18
IN,Jackson County,45.9,5.16
IN,Jasper County,41.3,5.68
IN,Jay County,47.7,5.38
IN,Jefferson County,39.6,4.98
IN,Jennings County,47.2,7.88
IN,Johnson County,32.7,7.72
IN,Knox County,36.6,8.38
IN,Kosciusko County,37.0,7.48
IN,LaGrange County,32.0,6.74
IN,Lake County,35.3,5.76
IN,LaPorte County,38.9,5.36
IN,Lawrence County,42.5,6.94
IN,Madison County,39.2,5.88
IN,Marion County,28.1,5.72
IN,Marshall County,40.6,6.2
IN,Martin County,42.8,7.44
IN,Miami County,42.6,5.84
IN,Monroe County,22.7,7.0
IN,Montgomery County,43.5,7.9
IN,Morgan County,42.1,8.12
IN,Newton County,46.5,7.52
IN,Noble County,41.1,6.32
IN,Ohio County,46.8,5.52
IN,Orange County,45.1,6.22
IN,Owen County,43.2,5.16
IN,Parke County,42.3,5.86
IN,Perry County,51.1,6.94
IN,Pike County,45.9,6.86
IN,Porter County,34.9,6.76
IN,Posey County,38.8,5.86
IN,Pulaski County,46.0,6.84
IN,Putnam County,41.6,7.16
IN,Randolph County,43.7,6.08
IN,Ripley County,43.2,5.42
IN,Rush County,47.9,7.74
IN,St. Joseph County,30.9,5.22
IN,Scott County,42.6,7.5
IN,Shelby County,43.0,6.2
IN,Spencer County,44.0,5.34
IN,Starke County,41.4,5.5
IN,Steuben County,38.0,5.98
IN,Sullivan County,42.7,5.66
IN,Switzerland County,48.3,8.86
IN,Tippecanoe County,26.6,7.66
IN,Tipton County,39.4,6.2
IN,Union County,44.7,6.42
IN,Vanderburgh County,33.8,5.2
IN,Vermillion County,45.3,6.86
IN,Vigo County,33.0,6.98
IN,Wabash County,42.0,5.18
IN,Warren County,43.2,5.56
IN,Warrick County,32.9,5.62
IN,Wayne County,39.2,3.7
IN,Wells County,40.4,3.32
IN,White County,43.2,5.64
IN,Whitley County,41.4,5.66
